Matisse Thybulle,6-Jun,200,SG/SF,Washington,Sr.,
Alpha Diallo,6-Jun,210,SG/SF,Providence,Jr.,
Dewan Hernandez,10-Jun,235,C,Miami,Jr.,
Markis McDuffie,8-Jun,215,SF,Wichita State,Sr.,
Herb Jones,7-Jun,205,SG/SF,Alabama,So.,
Nick Richards,11-Jun,245,C,Kentucky,So.,
Aaron Wiggins,6-Jun,180,SG,Maryland,Fr.,
Tyus Battle,6-Jun,205,SG,Syracuse,Jr.,
Cody Martin,6-Jun,200,SG,Nevada,Sr.,
Vanja Marinkovic,7-Jun,195,SG/SF,KK Partizan,1997,
Borisa Simanic,11-Jun,205,PF,Crvena Zvezda,1998,
